fight_id,fighter_id,corner,kd,sig_str_landed,sig_str_atmpted,total_str_landed,total_str_atmpted,td_landed,td_atmpted,sub_att,ctrl,head_landed,head_atmpted,body_landed,body_atmpted,leg_landed,leg_atmpted,dist_landed,dist_atmpted,clinch_landed,clinch_atmpted,ground_landed,ground_atmpted,total_fight_time,height,reach,stance,dob,weight,date,body_acc,clinch_acc,dist_acc,ground_acc,head_acc,leg_acc,sig_str_acc,td_acc,total_str_acc,landed_body_per,landed_clinch_per,landed_dist_per,landed_ground_per,landed_head_per,landed_leg_per,losses,wins,outcome,sub_avg,td_avg,splm,sapm,str_def,td_def,opponent_id
7e8749cbf32ef1f8,ab2b4ff41d6ebe0f,r,6,436,932,681,1218,15,31,4,1670,257,679,77,115,102,138,316,769,58,84,62,79,5939,167.6,165.1,Orthodox,1992-03-21,125.0,2026-05-30 00:00:00,66.95652173913044,69.04761904761905,41.0923276983095,78.48101265822784,37.84977908689249,73.91304347826086,46.78111587982833,48.38709677419355,55.91133004926109,0.186696580683124,0.11418579918219472,0.7669418375488902,0.118872363268915,0.5249438039432632,0.2883596153736127,6.0,8.0,NA,0.6061626536453948,2.2731099511702304,4.404781949823202,3.1924566425324126,59.642401021711365,74.28571428571429,3cf18e01cb6cbde3
7e8749cbf32ef1f8,3cf18e01cb6cbde3,b,2,493,975,575,1068,5,14,4,600,304,709,72,120,117,146,401,846,38,53,54,76,6677,172.7,182.9,Southpaw,1996-01-20,125.0,2026-05-30 00:00:00,60.0,71.69811320754717,47.39952718676123,71.05263157894737,42.877291960507755,80.13698630136986,50.56410256410256,35.714285714285715,53.838951310861425,0.13746811864357994,0.06136415398133897,0.8092080867800007,0.12942775923866023,0.638274568563413,0.22425731279300692,4.0,6.0,NA,0.5391642953422195,0.6739553691777744,4.4301332933952375,2.345364684738655,62.22865412445731,72.0,ab2b4ff41d6ebe0f
f6d09973de0f83e7,e6666480a830f764,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.9,182.9,Orthodox,2000-01-01,185.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,33a86e839ad202d8
f6d09973de0f83e7,33a86e839ad202d8,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,188.0,,1995-01-17,185.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,e6666480a830f764
bc0b3c16246e0d1d,e0664abaa023fd6f,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0,185.4,Orthodox,1994-09-27,170.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,20a0e4cc5227c117
bc0b3c16246e0d1d,20a0e4cc5227c117,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,200.7,Orthodox,2002-05-23,170.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,e0664abaa023fd6f
3bc0190fb17ba42f,7d420039bbfe7c1a,r,3,411,824,610,1065,7,15,0,674,267,654,97,116,47,54,342,718,23,35,46,71,5261,170.2,175.3,Orthodox,1993-06-25,135.0,2026-05-30 00:00:00,83.62068965517241,65.71428571428571,47.63231197771588,64.7887323943662,40.825688073394495,87.03703703703704,49.87864077669903,46.666666666666664,57.27699530516433,0.21578742958053304,0.03865291422762687,0.7765983510236384,0.18474873474873477,0.6082770154609235,0.17593555495854346,5.0,4.0,NA,0.0,1.1974909712982322,4.687321801938794,5.474244440220491,48.663101604278076,58.333333333333336,8e6654e9f0461b8f
3bc0190fb17ba42f,8e6654e9f0461b8f,b,0,140,280,148,288,2,4,0,91,100,232,38,46,2,2,130,268,10,11,0,1,900,170.2,175.3,Orthodox,1998-09-08,135.0,2026-05-30 00:00:00,82.6086956521739,90.9090909090909,48.507462686567166,0.0,43.103448275862064,100.0,50.0,50.0,51.388888888888886,0.2714285714285714,0.07142857142857142,0.9285714285714286,0.0,0.7142857142857143,0.014285714285714285,0.0,1.0,b,0.0,2.0,9.333333333333334,3.5999999999999996,61.42857142857143,83.33333333333334,7d420039bbfe7c1a
224dce2c0b03e7eb,2f43a3e82661fa99,r,0,49,116,109,187,7,29,0,608,43,108,4,6,2,2,34,95,2,4,13,17,1800,167.6,172.7,Orthodox,2002-06-22,135.0,2026-05-30 00:00:00,66.66666666666666,50.0,35.78947368421053,76.47058823529412,39.81481481481482,100.0,42.241379310344826,24.137931034482758,58.288770053475936,0.0900735294117647,0.058823529411764705,0.5588235294117647,0.38235294117647056,0.8786764705882353,0.03125,1.0,1.0,r,0.0,3.5,1.6333333333333333,2.5,41.86046511627907,50.0,29162be25ebef5f0
224dce2c0b03e7eb,29162be25ebef5f0,b,0,276,669,336,748,3,17,1,385,207,565,28,54,41,50,248,624,24,38,4,7,3114,165.1,162.6,Orthodox,1993-11-16,135.0,2026-05-30 00:00:00,51.85185185185185,63.1578947368421,39.743589743589745,57.14285714285714,36.637168141592916,82.0,41.25560538116592,17.647058823529413,44.919786096256686,0.09957666494579247,0.08037127860953364,0.904244106005851,0.015384615384615385,0.6043275684047495,0.2960957666494579,3.0,1.0,NA,0.2890173410404624,0.8670520231213873,5.317919075144509,5.684007707129094,57.79685264663805,75.0,2f43a3e82661fa99
3f719885c9916e06,f0feeb2192937424,r,3,2242,4466,2627,4947,21,69,4,3604,1337,3252,720,998,185,216,1648,3686,515,659,79,121,25065,160.0,162.6,Orthodox,1985-01-12,115.0,2026-05-30 00:00:00,72.14428857715431,78.14871016691957,44.709712425393384,65.28925619834712,41.113161131611314,85.64814814814815,50.20152261531572,30.434782608695656,53.1028906407924,0.31868322623914713,0.22191068036737296,0.7397400751259544,0.0383492445066726,0.5983552326665382,0.08296154109431461,16.0,13.0,r,0.1436265709156194,0.7540394973070018,5.366846199880311,5.0173548773189705,60.2654028436019,72.66187050359713,2cdb479a0ef0ee1d
3f719885c9916e06,2cdb479a0ef0ee1d,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.6,160.0,Switch,1988-01-12,115.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,f0feeb2192937424
34d5ec676fb5bce3,6f4ec5aa3eced219,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.6,177.8,Orthodox,1996-01-16,145.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,2b266e623e20737a
34d5ec676fb5bce3,2b266e623e20737a,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.7,172.7,Orthodox,1995-10-18,145.0,2026-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,6f4ec5aa3eced219
370ff29489150560,4e30e4250cb08b61,r,0,516,924,805,1288,17,34,1,1261,190,473,232,333,94,118,294,643,186,231,36,50,8444,154.9,154.9,Orthodox,1996-01-18,115.0,2026-05-30 00:00:00,69.66966966966966,80.51948051948052,45.72317262830482,72.0,40.169133192389005,79.66101694915254,55.84415584415584,50.0,62.5,0.4051950304135376,0.28083615800769157,0.6374481557177987,0.0817156862745098,0.39508426956674114,0.19972070001972125,3.0,7.0,NA,0.10658455708195168,1.8119374703931785,3.666508763619138,2.522501184272856,53.10435931307794,68.88888888888889,bc7d1ad49fcb2d08
370ff29489150560,bc7d1ad49fcb2d08,b,0,135,266,285,469,8,22,14,1389,114,215,15,39,6,12,39,127,3,3,93,136,3336,160.0,172.7,Orthodox,1995-06-24,115.0,2026-05-30 00:00:00,38.46153846153847,100.0,30.708661417322837,68.38235294117648,53.02325581395348,50.0,50.75187969924813,36.36363636363637,60.76759061833689,0.23111707414032992,0.019230769230769232,0.5020125223613595,0.4787567084078712,0.7135261379447426,0.05535678791492745,2.0,4.0,b,3.7769784172661867,2.158273381294964,2.4280575539568345,2.158273381294964,54.88721804511278,0.0,4e30e4250cb08b61
e4aa608124896794,040a74bb0a465c54,r,3,667,1587,763,1698,11,23,4,1355,481,1304,132,202,54,81,602,1475,30,58,35,54,11523,172.7,177.8,Southpaw,1994-01-22,145.0,2026-05-16 00:00:00,65.34653465346535,51.724137931034484,40.813559322033896,64.81481481481481,36.88650306748466,66.66666666666666,42.028985507246375,47.82608695652174,44.93521790341578,0.19065847811404715,0.05636336867409032,0.864570944063031,0.07906568726287865,0.7371951019367587,0.07214641994919402,3.0,11.0,r,0.31241864097891175,0.8591512626920073,3.473053892215569,3.040874772194741,60.13651877133106,71.62162162162163,20bccc9bb4ceb23e
e4aa608124896794,20bccc9bb4ceb23e,b,2,362,729,591,995,11,27,6,977,169,463,118,173,75,93,285,615,42,64,35,50,4956,177.8,180.3,Southpaw,1996-09-14,145.0,2026-05-16 00:00:00,68.20809248554913,65.625,46.34146341463415,70.0,36.50107991360691,80.64516129032258,49.65706447187929,40.74074074074074,59.39698492462312,0.33317531138185186,0.1849596408307391,0.7318273587194183,0.08321300044984256,0.35947569501569593,0.30734899360245227,2.0,7.0,NA,1.089588377723971,1.9975786924939467,4.3825665859564165,2.9661016949152543,54.54545454545454,58.69565217391305,040a74bb0a465c54
fc1266e2892ed111,e93b04e308913c2e,r,4,344,610,435,716,7,13,3,918,233,481,64,74,47,55,257,502,36,49,51,59,4420,177.8,177.8,Orthodox,1991-04-10,145.0,2026-05-16 00:00:00,86.48648648648648,73.46938775510205,51.19521912350598,86.4406779661017,48.44074844074844,85.45454545454545,56.393442622950815,53.84615384615385,60.754189944134076,0.14045078378411713,0.07547834881168214,0.714400537733871,0.21012111345444678,0.7458588325254991,0.11369038369038369,4.0,5.0,r,0.6108597285067874,1.425339366515837,4.669683257918552,4.018099547511312,56.083086053412465,47.61904761904761,b67d6bacc68d4c92
fc1266e2892ed111,b67d6bacc68d4c92,b,2,285,700,401,840,12,30,0,1194,184,547,64,100,37,53,209,601,24,32,52,67,3589,170.2,170.2,Orthodox,1995-03-12,145.0,2026-05-16 00:00:00,64.0,75.0,34.775374376039935,77.61194029850746,33.63802559414991,69.81132075471697,40.714285714285715,40.0,47.73809523809524,0.21661901475566073,0.07904683032633344,0.696933846002169,0.22401932367149763,0.6305583489434421,0.15282263630089715,1.0,4.0,NA,0.0,3.0091947617720813,4.764558372805795,5.032042351629981,51.056910569105696,73.33333333333333,e93b04e308913c2e
ecb7ff543dd41bf8,2e45d08b3f2f02c8,r,2,108,197,113,202,0,3,0,80,47,116,48,59,13,22,81,163,27,33,0,1,1176,177.8,180.3,Switch,1994-06-04,135.0,2026-05-16 00:00:00,81.35593220338984,81.81818181818183,49.693251533742334,0.0,40.51724137931034,59.09090909090909,54.82233502538071,0.0,55.940594059405946,0.49373737373737375,0.14389610389610388,0.856103896103896,0.0,0.3537373737373737,0.15252525252525254,1.0,2.0,NA,0.0,0.0,5.510204081632653,5.1020408163265305,51.92307692307693,50.0,74939a16c7b56f33
ecb7ff543dd41bf8,74939a16c7b56f33,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.7,175.3,Orthodox,1998-06-03,135.0,2026-05-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,2e45d08b3f2f02c8
57bd683efc797fc1,476fe566d2df676e,r,1,375,875,436,948,2,3,1,726,276,755,60,77,39,43,325,799,31,48,19,28,6955,190.5,193.0,Switch,1994-02-10,,2026-05-16 00:00:00,77.92207792207793,64.58333333333334,40.67584480600751,67.85714285714286,36.55629139072848,90.69767441860465,42.857142857142854,66.66666666666666,45.9915611814346,0.15174513722386168,0.07708763692696069,0.8628118276435566,0.06010053542948279,0.6891854308520152,0.15906943192412298,5.0,7.0,r,0.12940330697340044,0.2588066139468009,3.235082674335011,4.046010064701654,50.63157894736842,79.16666666666666,f5d82eccdea4e2dd
57bd683efc797fc1,f5d82eccdea4e2dd,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.6,198.1,Southpaw,1998-11-05,,2026-05-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,476fe566d2df676e
a6ec8573a9d38c51,0e46690e55a8df75,r,1,148,306,182,346,6,19,0,620,97,233,34,45,17,28,118,267,16,20,14,19,3235,175.3,180.3,Orthodox,1999-02-08,135.0,2026-05-16 00:00:00,75.55555555555556,80.0,44.19475655430712,73.68421052631578,41.63090128755365,60.71428571428571,48.36601307189542,31.57894736842105,52.601156069364166,0.23060003126325898,0.14756258234519104,0.7830999754360108,0.06933744221879815,0.6739967843505058,0.09540318438623524,2.0,2.0,NA,0.0,1.669242658423493,2.7449768160741885,3.338485316846986,59.183673469387756,66.66666666666666,b6c37948cb226e8c
a6ec8573a9d38c51,b6c37948cb226e8c,b,1,126,225,189,301,5,7,0,418,106,198,9,14,11,13,69,154,16,22,41,49,1781,167.6,167.6,Orthodox,2000-09-25,135.0,2026-05-16 00:00:00,64.28571428571429,72.72727272727273,44.8051948051948,83.6734693877551,53.535353535353536,84.61538461538461,56.00000000000001,71.42857142857143,62.7906976744186,0.06049382716049383,0.09876543209876543,0.5296296296296297,0.3716049382716049,0.8617283950617284,0.07777777777777778,1.0,1.0,b,0.0,2.5266704098820885,4.244806288601909,4.8848961257720385,49.65277777777778,76.92307692307693,0e46690e55a8df75
ec32745308e2b055,0f1efce7d2571d10,r,0,139,258,218,338,2,9,2,228,69,173,58,73,12,12,98,208,33,36,8,14,3355,185.4,188.0,Orthodox,1989-12-22,170.0,2026-05-16 00:00:00,79.45205479452055,91.66666666666666,47.11538461538461,57.14285714285714,39.884393063583815,100.0,53.875968992248055,22.22222222222222,64.49704142011834,0.4794912280701754,0.2571971595655806,0.6955806182121972,0.04722222222222222,0.37704594820384296,0.14346282372598163,3.0,2.0,NA,0.5365126676602087,0.5365126676602087,2.4858420268256336,3.2369597615499255,40.65573770491803,66.66666666666666,2558ae2e5671e318
ec32745308e2b055,2558ae2e5671e318,b,5,486,1236,608,1370,0,2,0,685,234,872,96,148,156,216,430,1149,38,61,18,26,5907,182.9,195.6,Orthodox,1994-03-30,170.0,2026-05-16 00:00:00,64.86486486486487,62.295081967213115,37.42384682332463,69.23076923076923,26.834862385321102,72.22222222222221,39.32038834951456,0.0,44.37956204379562,0.18433747205175777,0.10294809951952807,0.8222695875553019,0.07478231292517007,0.4801086056800343,0.33555392226820796,4.0,6.0,b,0.0,0.0,4.936515997968511,5.393600812595226,40.86859688195991,51.724137931034484,0f1efce7d2571d10
6242cda790f2085d,3e8118c1ab52f211,r,0,46,116,69,155,8,18,1,687,26,88,5,7,15,21,35,93,4,10,7,13,1688,193.0,193.0,Orthodox,1990-06-30,205.0,2026-05-16 00:00:00,71.42857142857143,40.0,37.634408602150536,53.84615384615385,29.545454545454547,71.42857142857143,39.6551724137931,44.44444444444444,44.516129032258064,0.052083333333333336,0.041666666666666664,0.7462121212121212,0.21212121212121213,0.5107323232323232,0.4371843434343434,2.0,1.0,NA,0.5331753554502371,4.265402843601897,1.6350710900473935,3.625592417061611,47.69230769230769,33.33333333333333,64ad3e3b0efa30bb
6242cda790f2085d,64ad3e3b0efa30bb,b,0,85,183,136,244,1,5,0,425,66,162,14,16,5,5,79,175,5,6,1,2,1999,188.0,182.9,Orthodox,1991-11-15,205.0,2026-05-16 00:00:00,87.5,83.33333333333334,45.14285714285714,50.0,40.74074074074074,100.0,46.44808743169399,20.0,55.73770491803278,0.12464387464387465,0.04273504273504273,0.9487179487179488,0.008547008547008546,0.8071225071225072,0.06823361823361823,3.0,0.0,b,0.0,0.4502251125562781,2.5512756378189096,5.012506253126563,53.73961218836565,61.904761904761905,3e8118c1ab52f211
c9e0aa88afb81dab,de83f920fd302871,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.3,193.0,Orthodox,1993-01-09,155.0,2026-05-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r,0.0,0.0,0.0,0.0,0.0,0.0,20d37922ba85e6fc
c9e0aa88afb81dab,20d37922ba85e6fc,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.3,175.3,Orthodox,2003-09-27,155.0,2026-05-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,de83f920fd302871
5f7111b982bcf6e3,b9706f80d005036c,r,0,591,1454,1147,2129,19,43,8,4069,447,1266,86,122,58,66,454,1286,99,123,38,45,12847,172.7,172.7,Orthodox,1991-08-26,135.0,2026-05-16 00:00:00,70.49180327868852,80.48780487804879,35.30326594090202,84.44444444444444,35.308056872037916,87.87878787878788,40.646492434663,44.18604651162791,53.8750587130108,0.14046107944968572,0.19782040558719907,0.7046006701284504,0.09757892428435053,0.7434522614185576,0.11608665913175671,5.0,9.0,r,0.5604421265665136,1.3310500505954699,2.7601774733400792,3.745621545886199,50.43263288009888,90.0,e3964ece586e0635
5f7111b982bcf6e3,e3964ece586e0635,b,0,424,909,467,960,0,2,0,132,219,657,74,95,131,157,401,880,23,29,0,0,4500,172.7,177.8,Orthodox,1997-08-29,135.0,2026-05-16 00:00:00,77.89473684210526,79.3103448275862,45.56818181818182,0.0,33.33333333333333,83.43949044585987,46.64466446644664,0.0,48.645833333333336,0.1805032866676702,0.0555952380952381,0.9444047619047617,0.0,0.5400951851294317,0.27940152820289804,0.0,5.0,NA,0.0,0.0,5.653333333333333,3.1733333333333333,68.72536136662286,88.23529411764706,b9706f80d005036c
48cb604345f11766,f14f644d41ade29f,r,3,251,530,414,714,14,33,4,1293,187,446,23,37,41,47,189,445,28,44,34,41,7023,182.9,182.9,Orthodox,1994-05-16,185.0,2026-05-16 00:00:00,62.16216216216216,63.63636363636363,42.47191011235955,82.92682926829268,41.92825112107623,87.2340425531915,47.35849056603774,42.42424242424242,57.98319327731093,0.1257836214788384,0.10417038652856228,0.6828041204459446,0.14635882635882635,0.6462281750713341,0.1613215367831608,10.0,5.0,r,0.5126014523707818,1.7941050832977363,2.14438274241777,2.9560017086715082,51.743375174337515,68.75,5f61780fe5e9b6d0
48cb604345f11766,5f61780fe5e9b6d0,b,1,362,735,516,929,27,52,11,3036,235,572,73,92,54,71,271,612,9,11,82,112,7720,182.9,185.4,Switch,1991-06-12,185.0,2026-05-16 00:00:00,79.34782608695652,81.81818181818183,44.28104575163398,73.21428571428571,41.08391608391608,76.05633802816901,49.25170068027211,51.92307692307693,55.543595263724434,0.1732185013851456,0.02282277107287203,0.7474806637328512,0.14636323186094355,0.4624848635533116,0.28096330172820955,4.0,8.0,NA,1.282383419689119,3.1476683937823835,2.8134715025906734,2.790155440414508,53.31599479843953,86.36363636363636,f14f644d41ade29f
b98ead4eff6bf872,87f8699fdcc2c404,r,0,441,961,488,1026,4,9,0,468,319,798,76,105,46,58,428,940,9,15,4,6,3600,160.0,157.5,Orthodox,1992-04-19,115.0,2026-05-16 00:00:00,72.38095238095238,60.0,45.53191489361702,66.66666666666666,39.9749373433584,79.3103448275862,45.88969823100936,44.44444444444444,47.563352826510716,0.17174173080923652,0.024180386737594976,0.9582757536132822,0.017543859649122806,0.7178191278591736,0.11043914133158984,2.0,2.0,r,0.0,1.0,7.35,5.2,61.99756394640682,85.71428571428571,9673a497a9da119a
b98ead4eff6bf872,9673a497a9da119a,b,1,218,542,560,957,4,12,9,386,110,399,66,96,42,47,174,487,18,25,26,30,4780,165.1,170.2,Orthodox,1992-06-14,115.0,2026-05-16 00:00:00,68.75,72.0,35.728952772073924,86.66666666666667,27.56892230576441,89.36170212765957,40.22140221402214,33.33333333333333,58.516196447230925,0.3169261787838863,0.03645432301558783,0.729294640361834,0.1433419457134872,0.4476472802559759,0.1445174500510469,7.0,4.0,NA,1.694560669456067,0.7531380753138075,2.7364016736401675,2.497907949790795,53.286384976525824,35.0,87f8699fdcc2c404
